DATE;TIME_FROM;TIME_TO;IDAEP_GERMANY_VALUE_OP_[EUR/MWH];IDAEP_GERMANY_COMMENT;IDAEP_GERMANY_VALUE_QA_[EUR/MWH]
02.10.2020;14:00;14:15;36,040;;n/a
02.10.2020;14:15;14:30;42,000;;n/a
02.10.2020;14:30;14:45;45,520;;n/a
02.10.2020;14:45;15:00;40,600;;n/a
02.10.2020;15:00;15:15;34,970;;n/a
02.10.2020;15:15;15:30;32,610;;n/a
02.10.2020;15:30;15:45;31,630;;n/a
02.10.2020;15:45;16:00;27,210;;n/a
02.10.2020;16:00;16:15;23,530;;n/a
02.10.2020;16:15;16:30;30,360;;n/a
02.10.2020;16:30;16:45;36,870;;n/a
02.10.2020;16:45;17:00;41,480;;n/a
02.10.2020;17:00;17:15;27,410;;n/a
02.10.2020;17:15;17:30;35,750;;n/a
02.10.2020;17:30;17:45;54,530;;n/a
02.10.2020;17:45;18:00;51,510;;n/a
02.10.2020;18:00;18:15;47,190;;n/a
02.10.2020;18:15;18:30;47,810;;n/a
02.10.2020;18:30;18:45;51,070;;n/a
02.10.2020;18:45;19:00;51,780;;n/a
02.10.2020;19:00;19:15;50,560;;n/a
02.10.2020;19:15;19:30;50,400;;n/a
02.10.2020;19:30;19:45;46,010;;n/a
02.10.2020;19:45;20:00;37,170;;n/a
02.10.2020;20:00;20:15;44,500;;n/a
02.10.2020;20:15;20:30;32,000;;n/a
02.10.2020;20:30;20:45;24,590;;n/a
02.10.2020;20:45;21:00;20,950;;n/a
02.10.2020;21:00;21:15;34,600;;n/a
02.10.2020;21:15;21:30;32,550;;n/a
02.10.2020;21:30;21:45;34,520;;n/a
02.10.2020;21:45;22:00;28,620;;n/a
02.10.2020;22:00;22:15;56,940;;n/a
02.10.2020;22:15;22:30;43,270;;n/a
02.10.2020;22:30;22:45;32,880;;n/a
02.10.2020;22:45;23:00;22,280;;n/a
02.10.2020;23:00;23:15;88,350;;n/a
02.10.2020;23:15;23:30;50,800;;n/a
02.10.2020;23:30;23:45;20,810;;n/a
02.10.2020;23:45;00:00;16,830;;n/a
03.10.2020;00:00;00:15;46,300;;n/a
03.10.2020;00:15;00:30;36,150;;n/a
03.10.2020;00:30;00:45;38,430;;n/a
03.10.2020;00:45;01:00;28,710;;n/a
03.10.2020;01:00;01:15;40,040;;n/a
03.10.2020;01:15;01:30;74,470;;n/a
03.10.2020;01:30;01:45;73,060;;n/a
03.10.2020;01:45;02:00;54,190;;n/a
03.10.2020;02:00;02:15;48,810;;n/a
03.10.2020;02:15;02:30;44,990;;n/a
03.10.2020;02:30;02:45;46,010;;n/a
03.10.2020;02:45;03:00;41,690;;n/a
03.10.2020;03:00;03:15;30,380;;n/a
03.10.2020;03:15;03:30;27,240;;n/a
03.10.2020;03:30;03:45;31,410;;n/a
03.10.2020;03:45;04:00;33,260;;n/a
03.10.2020;04:00;04:15;19,620;;n/a
03.10.2020;04:15;04:30;20,800;;n/a
03.10.2020;04:30;04:45;26,410;;n/a
03.10.2020;04:45;05:00;31,030;;n/a
03.10.2020;05:00;05:15;26,550;;n/a
03.10.2020;05:15;05:30;40,070;;n/a
03.10.2020;05:30;05:45;50,330;;n/a
03.10.2020;05:45;06:00;52,480;;n/a
03.10.2020;06:00;06:15;6,750;;n/a
03.10.2020;06:15;06:30;22,170;;n/a
03.10.2020;06:30;06:45;26,310;;n/a
03.10.2020;06:45;07:00;31,350;;n/a
03.10.2020;07:00;07:15;1,500;;n/a
03.10.2020;07:15;07:30;23,080;;n/a
03.10.2020;07:30;07:45;33,350;;n/a
03.10.2020;07:45;08:00;36,370;;n/a
03.10.2020;08:00;08:15;29,690;;n/a
03.10.2020;08:15;08:30;35,000;;n/a
03.10.2020;08:30;08:45;38,160;;n/a
03.10.2020;08:45;09:00;40,080;;n/a
03.10.2020;09:00;09:15;38,310;;n/a
03.10.2020;09:15;09:30;37,080;;n/a
03.10.2020;09:30;09:45;40,950;;n/a
03.10.2020;09:45;10:00;43,500;;n/a
03.10.2020;10:00;10:15;37,010;;n/a
03.10.2020;10:15;10:30;48,270;;n/a
03.10.2020;10:30;10:45;47,640;;n/a
03.10.2020;10:45;11:00;52,180;;n/a
03.10.2020;11:00;11:15;50,710;;n/a
03.10.2020;11:15;11:30;52,420;;n/a
03.10.2020;11:30;11:45;51,820;;n/a
03.10.2020;11:45;12:00;42,910;;n/a
03.10.2020;12:00;12:15;53,200;;n/a
03.10.2020;12:15;12:30;49,230;;n/a
03.10.2020;12:30;12:45;57,080;;n/a
03.10.2020;12:45;13:00;64,710;;n/a
03.10.2020;13:00;13:15;57,670;;n/a
03.10.2020;13:15;13:30;49,510;;n/a
03.10.2020;13:30;13:45;48,070;;n/a
03.10.2020;13:45;14:00;52,120;;n/a
03.10.2020;14:00;14:15;67,920;;n/a
03.10.2020;14:15;14:30;55,790;;n/a
03.10.2020;14:30;14:45;78,020;;n/a
03.10.2020;14:45;15:00;70,660;;n/a
03.10.2020;15:00;15:15;59,500;;n/a
03.10.2020;15:15;15:30;44,700;;n/a
03.10.2020;15:30;15:45;57,000;;n/a
03.10.2020;15:45;16:00;82,130;;n/a
03.10.2020;16:00;16:15;42,340;;n/a
03.10.2020;16:15;16:30;58,340;;n/a
03.10.2020;16:30;16:45;73,870;;n/a
03.10.2020;16:45;17:00;74,120;;n/a
03.10.2020;17:00;17:15;43,210;;n/a
03.10.2020;17:15;17:30;43,110;;n/a
03.10.2020;17:30;17:45;49,480;;n/a
03.10.2020;17:45;18:00;59,380;;n/a
03.10.2020;18:00;18:15;36,230;;n/a
03.10.2020;18:15;18:30;44,060;;n/a
03.10.2020;18:30;18:45;39,070;;n/a
03.10.2020;18:45;19:00;35,800;;n/a
03.10.2020;19:00;19:15;49,620;;n/a
03.10.2020;19:15;19:30;45,320;;n/a
03.10.2020;19:30;19:45;73,670;;n/a
03.10.2020;19:45;20:00;68,140;;n/a
03.10.2020;20:00;20:15;76,100;;n/a
03.10.2020;20:15;20:30;50,450;;n/a
03.10.2020;20:30;20:45;39,720;;n/a
03.10.2020;20:45;21:00;18,140;;n/a
03.10.2020;21:00;21:15;24,870;;n/a
03.10.2020;21:15;21:30;26,910;;n/a
03.10.2020;21:30;21:45;12,720;;n/a
03.10.2020;21:45;22:00;35,420;;n/a
03.10.2020;22:00;22:15;37,010;;n/a
03.10.2020;22:15;22:30;39,300;;n/a
03.10.2020;22:30;22:45;41,320;;n/a
03.10.2020;22:45;23:00;26,080;;n/a
03.10.2020;23:00;23:15;33,630;;n/a
03.10.2020;23:15;23:30;20,740;;n/a
03.10.2020;23:30;23:45;18,670;;n/a
03.10.2020;23:45;00:00;-1,940;;n/a
04.10.2020;00:00;00:15;40,020;;n/a
04.10.2020;00:15;00:30;22,500;;n/a
04.10.2020;00:30;00:45;9,060;;n/a
04.10.2020;00:45;01:00;-0,610;;n/a
04.10.2020;01:00;01:15;22,290;;n/a
04.10.2020;01:15;01:30;-2,900;;n/a
04.10.2020;01:30;01:45;-5,720;;n/a
04.10.2020;01:45;02:00;-24,220;;n/a
04.10.2020;02:00;02:15;18,530;;n/a
04.10.2020;02:15;02:30;-2,430;;n/a
04.10.2020;02:30;02:45;6,020;;n/a
04.10.2020;02:45;03:00;-3,890;;n/a
04.10.2020;03:00;03:15;11,980;;n/a
04.10.2020;03:15;03:30;-10,660;;n/a
04.10.2020;03:30;03:45;-15,560;;n/a
04.10.2020;03:45;04:00;-40,610;;n/a
04.10.2020;04:00;04:15;-14,310;;n/a
04.10.2020;04:15;04:30;-20,240;;n/a
04.10.2020;04:30;04:45;-35,410;;n/a
04.10.2020;04:45;05:00;-50,550;;n/a
04.10.2020;05:00;05:15;-0,260;;n/a
04.10.2020;05:15;05:30;-24,030;;n/a
04.10.2020;05:30;05:45;-18,600;;n/a
04.10.2020;05:45;06:00;-26,700;;n/a
04.10.2020;06:00;06:15;-4,510;;n/a
04.10.2020;06:15;06:30;1,230;;n/a
04.10.2020;06:30;06:45;24,200;;n/a
04.10.2020;06:45;07:00;23,110;;n/a
04.10.2020;07:00;07:15;4,620;;n/a
04.10.2020;07:15;07:30;8,150;;n/a
04.10.2020;07:30;07:45;8,050;;n/a
04.10.2020;07:45;08:00;-20,990;;n/a
04.10.2020;08:00;08:15;9,020;;n/a
04.10.2020;08:15;08:30;0,720;;n/a
04.10.2020;08:30;08:45;18,150;;n/a
04.10.2020;08:45;09:00;8,580;;n/a
04.10.2020;09:00;09:15;51,180;;n/a
04.10.2020;09:15;09:30;23,310;;n/a
04.10.2020;09:30;09:45;17,870;;n/a
04.10.2020;09:45;10:00;28,460;;n/a
04.10.2020;10:00;10:15;30,470;;n/a
04.10.2020;10:15;10:30;25,340;;n/a
04.10.2020;10:30;10:45;-3,740;;n/a
04.10.2020;10:45;11:00;-17,370;;n/a
04.10.2020;11:00;11:15;10,600;;n/a
04.10.2020;11:15;11:30;-3,130;;n/a
04.10.2020;11:30;11:45;-13,020;;n/a
04.10.2020;11:45;12:00;-10,420;;n/a
04.10.2020;12:00;12:15;13,220;;n/a
04.10.2020;12:15;12:30;-1,910;;n/a
04.10.2020;12:30;12:45;-7,080;;n/a
04.10.2020;12:45;13:00;-5,190;;n/a
04.10.2020;13:00;13:15;5,220;;n/a
04.10.2020;13:15;13:30;0,730;;n/a
04.10.2020;13:30;13:45;-6,510;;n/a
04.10.2020;13:45;14:00;-7,930;;n/a
04.10.2020;14:00;14:15;-16,780;;n/a
04.10.2020;14:15;14:30;-5,390;;n/a
04.10.2020;14:30;14:45;0,310;;n/a
04.10.2020;14:45;15:00;3,050;;n/a
04.10.2020;15:00;15:15;-38,930;;n/a
04.10.2020;15:15;15:30;-4,190;;n/a
04.10.2020;15:30;15:45;-2,090;;n/a
04.10.2020;15:45;16:00;-1,770;;n/a
04.10.2020;16:00;16:15;-49,190;;n/a
04.10.2020;16:15;16:30;-17,250;;n/a
04.10.2020;16:30;16:45;6,570;;n/a
04.10.2020;16:45;17:00;36,830;;n/a
04.10.2020;17:00;17:15;-5,680;;n/a
04.10.2020;17:15;17:30;33,720;;n/a
04.10.2020;17:30;17:45;55,060;;n/a
04.10.2020;17:45;18:00;71,600;;n/a
04.10.2020;18:00;18:15;49,600;;n/a
04.10.2020;18:15;18:30;58,230;;n/a
04.10.2020;18:30;18:45;60,490;;n/a
04.10.2020;18:45;19:00;60,430;;n/a
04.10.2020;19:00;19:15;51,690;;n/a
04.10.2020;19:15;19:30;37,240;;n/a
04.10.2020;19:30;19:45;28,520;;n/a
04.10.2020;19:45;20:00;9,360;;n/a
04.10.2020;20:00;20:15;42,940;;n/a
04.10.2020;20:15;20:30;34,550;;n/a
04.10.2020;20:30;20:45;25,200;;n/a
04.10.2020;20:45;21:00;13,750;;n/a
04.10.2020;21:00;21:15;30,050;;n/a
04.10.2020;21:15;21:30;31,050;;n/a
04.10.2020;21:30;21:45;38,600;;n/a
04.10.2020;21:45;22:00;43,290;;n/a
04.10.2020;22:00;22:15;40,220;;n/a
04.10.2020;22:15;22:30;38,340;;n/a
04.10.2020;22:30;22:45;29,890;;n/a
04.10.2020;22:45;23:00;22,280;;n/a
04.10.2020;23:00;23:15;31,580;;n/a
04.10.2020;23:15;23:30;29,440;;n/a
04.10.2020;23:30;23:45;28,100;;n/a
04.10.2020;23:45;00:00;21,330;;n/a
05.10.2020;00:00;00:15;28,270;;n/a
05.10.2020;00:15;00:30;27,580;;n/a
05.10.2020;00:30;00:45;15,700;;n/a
05.10.2020;00:45;01:00;4,790;;n/a
05.10.2020;01:00;01:15;14,410;;n/a
05.10.2020;01:15;01:30;2,440;;n/a
05.10.2020;01:30;01:45;-3,360;;n/a
05.10.2020;01:45;02:00;-12,810;;n/a
05.10.2020;02:00;02:15;11,080;;n/a
05.10.2020;02:15;02:30;-1,710;;n/a
05.10.2020;02:30;02:45;-10,020;;n/a
05.10.2020;02:45;03:00;-0,880;;n/a
05.10.2020;03:00;03:15;-6,260;;n/a
05.10.2020;03:15;03:30;1,960;;n/a
05.10.2020;03:30;03:45;-9,570;;n/a
05.10.2020;03:45;04:00;8,120;;n/a
05.10.2020;04:00;04:15;-9,410;;n/a
05.10.2020;04:15;04:30;2,320;;n/a
05.10.2020;04:30;04:45;-29,440;;n/a
05.10.2020;04:45;05:00;11,040;;n/a
05.10.2020;05:00;05:15;-1,440;;n/a
05.10.2020;05:15;05:30;19,330;;n/a
05.10.2020;05:30;05:45;0,890;;n/a
05.10.2020;05:45;06:00;9,370;;n/a
05.10.2020;06:00;06:15;24,660;;n/a
05.10.2020;06:15;06:30;26,670;;n/a
05.10.2020;06:30;06:45;35,770;;n/a
05.10.2020;06:45;07:00;36,720;;n/a
05.10.2020;07:00;07:15;27,210;;n/a
05.10.2020;07:15;07:30;38,430;;n/a
05.10.2020;07:30;07:45;25,150;;n/a
05.10.2020;07:45;08:00;31,410;;n/a
05.10.2020;08:00;08:15;49,120;;n/a
05.10.2020;08:15;08:30;44,660;;n/a
05.10.2020;08:30;08:45;51,880;;n/a
05.10.2020;08:45;09:00;61,900;;n/a
05.10.2020;09:00;09:15;83,140;;n/a
05.10.2020;09:15;09:30;76,960;;n/a
05.10.2020;09:30;09:45;50,740;;n/a
05.10.2020;09:45;10:00;37,680;;n/a
05.10.2020;10:00;10:15;47,280;;n/a
05.10.2020;10:15;10:30;44,670;;n/a
05.10.2020;10:30;10:45;32,600;;n/a
05.10.2020;10:45;11:00;21,950;;n/a
05.10.2020;11:00;11:15;42,690;;n/a
05.10.2020;11:15;11:30;47,100;;n/a
05.10.2020;11:30;11:45;44,930;;n/a
05.10.2020;11:45;12:00;52,080;;n/a
05.10.2020;12:00;12:15;56,220;;n/a
05.10.2020;12:15;12:30;41,200;;n/a
05.10.2020;12:30;12:45;31,550;;n/a
05.10.2020;12:45;13:00;29,660;;n/a
05.10.2020;13:00;13:15;39,460;;n/a
05.10.2020;13:15;13:30;40,180;;n/a
05.10.2020;13:30;13:45;43,810;;n/a
05.10.2020;13:45;14:00;44,400;;n/a
05.10.2020;14:00;14:15;42,660;;n/a
05.10.2020;14:15;14:30;51,090;;n/a
05.10.2020;14:30;14:45;44,510;;n/a
05.10.2020;14:45;15:00;42,810;;n/a
05.10.2020;15:00;15:15;25,290;;n/a
05.10.2020;15:15;15:30;24,420;;n/a
05.10.2020;15:30;15:45;25,870;;n/a
05.10.2020;15:45;16:00;31,570;;n/a
05.10.2020;16:00;16:15;36,380;;n/a
05.10.2020;16:15;16:30;39,410;;n/a
05.10.2020;16:30;16:45;46,860;;n/a
05.10.2020;16:45;17:00;53,390;;n/a
05.10.2020;17:00;17:15;44,300;;n/a
05.10.2020;17:15;17:30;78,010;;n/a
05.10.2020;17:30;17:45;110,210;;n/a
05.10.2020;17:45;18:00;80,820;;n/a
05.10.2020;18:00;18:15;44,760;;n/a
05.10.2020;18:15;18:30;43,400;;n/a
05.10.2020;18:30;18:45;39,360;;n/a
05.10.2020;18:45;19:00;37,820;;n/a
05.10.2020;19:00;19:15;53,480;;n/a
05.10.2020;19:15;19:30;44,080;;n/a
05.10.2020;19:30;19:45;46,900;;n/a
05.10.2020;19:45;20:00;40,760;;n/a
05.10.2020;20:00;20:15;85,900;;n/a
05.10.2020;20:15;20:30;195,240;;n/a
05.10.2020;20:30;20:45;81,100;;n/a
05.10.2020;20:45;21:00;51,690;;n/a
05.10.2020;21:00;21:15;50,180;;n/a
05.10.2020;21:15;21:30;40,600;;n/a
05.10.2020;21:30;21:45;36,050;;n/a
05.10.2020;21:45;22:00;35,080;;n/a
05.10.2020;22:00;22:15;46,300;;n/a
05.10.2020;22:15;22:30;39,760;;n/a
05.10.2020;22:30;22:45;36,590;;n/a
05.10.2020;22:45;23:00;39,540;;n/a
05.10.2020;23:00;23:15;49,670;;n/a
05.10.2020;23:15;23:30;38,190;;n/a
05.10.2020;23:30;23:45;32,670;;n/a
05.10.2020;23:45;00:00;22,200;;n/a
06.10.2020;00:00;00:15;33,320;;n/a
06.10.2020;00:15;00:30;19,830;;n/a
06.10.2020;00:30;00:45;18,550;;n/a
06.10.2020;00:45;01:00;-6,580;;n/a
06.10.2020;01:00;01:15;29,970;;n/a
06.10.2020;01:15;01:30;20,960;;n/a
06.10.2020;01:30;01:45;1,490;;n/a
06.10.2020;01:45;02:00;4,910;;n/a
06.10.2020;02:00;02:15;25,000;;n/a
06.10.2020;02:15;02:30;12,520;;n/a
06.10.2020;02:30;02:45;15,630;;n/a
06.10.2020;02:45;03:00;7,560;;n/a
06.10.2020;03:00;03:15;3,760;;n/a
06.10.2020;03:15;03:30;7,720;;n/a
06.10.2020;03:30;03:45;3,330;;n/a
06.10.2020;03:45;04:00;2,350;;n/a
06.10.2020;04:00;04:15;0,360;;n/a
06.10.2020;04:15;04:30;7,410;;n/a
06.10.2020;04:30;04:45;2,790;;n/a
06.10.2020;04:45;05:00;26,610;;n/a
06.10.2020;05:00;05:15;24,960;;n/a
06.10.2020;05:15;05:30;16,330;;n/a
06.10.2020;05:30;05:45;20,290;;n/a
06.10.2020;05:45;06:00;20,960;;n/a
06.10.2020;06:00;06:15;22,050;;n/a
06.10.2020;06:15;06:30;25,630;;n/a
06.10.2020;06:30;06:45;29,590;;n/a
06.10.2020;06:45;07:00;37,730;;n/a
06.10.2020;07:00;07:15;33,060;;n/a
06.10.2020;07:15;07:30;47,630;;n/a
06.10.2020;07:30;07:45;47,410;;n/a
06.10.2020;07:45;08:00;59,510;;n/a
06.10.2020;08:00;08:15;68,000;;n/a
06.10.2020;08:15;08:30;58,220;;n/a
06.10.2020;08:30;08:45;56,410;;n/a
06.10.2020;08:45;09:00;60,620;;n/a
06.10.2020;09:00;09:15;42,860;;n/a
06.10.2020;09:15;09:30;46,880;;n/a
06.10.2020;09:30;09:45;42,140;;n/a
06.10.2020;09:45;10:00;32,360;;n/a
06.10.2020;10:00;10:15;43,510;;n/a
06.10.2020;10:15;10:30;34,560;;n/a
06.10.2020;10:30;10:45;28,280;;n/a
06.10.2020;10:45;11:00;18,150;;n/a
06.10.2020;11:00;11:15;30,600;;n/a
06.10.2020;11:15;11:30;23,460;;n/a
06.10.2020;11:30;11:45;21,350;;n/a
06.10.2020;11:45;12:00;28,120;;n/a
06.10.2020;12:00;12:15;36,120;;n/a
06.10.2020;12:15;12:30;54,450;;n/a
06.10.2020;12:30;12:45;50,150;;n/a
06.10.2020;12:45;13:00;42,280;;n/a
06.10.2020;13:00;13:15;36,490;;n/a
06.10.2020;13:15;13:30;23,380;;n/a
06.10.2020;13:30;13:45;20,820;;n/a
06.10.2020;13:45;14:00;19,540;;n/a
06.10.2020;14:00;14:15;24,580;;n/a
06.10.2020;14:15;14:30;31,240;;n/a
06.10.2020;14:30;14:45;40,320;;n/a
06.10.2020;14:45;15:00;39,850;;n/a
06.10.2020;15:00;15:15;26,980;;n/a
06.10.2020;15:15;15:30;24,430;;n/a
06.10.2020;15:30;15:45;21,060;;n/a
06.10.2020;15:45;16:00;34,280;;n/a
06.10.2020;16:00;16:15;20,880;;n/a
06.10.2020;16:15;16:30;36,820;;n/a
06.10.2020;16:30;16:45;47,570;;n/a
06.10.2020;16:45;17:00;48,470;;n/a
06.10.2020;17:00;17:15;24,460;;n/a
06.10.2020;17:15;17:30;37,600;;n/a
06.10.2020;17:30;17:45;48,090;;n/a
06.10.2020;17:45;18:00;50,100;;n/a
06.10.2020;18:00;18:15;39,930;;n/a
